ID,Type,From,To,Amount,Txn,ether,USD,date
4957,Sold,0x967ee5,0xb10004,"14Ξ ($25,188)","Feb 16, 2021",14,25188,2021-02-16
4957,Sold,0x6f4a2d,0x967ee5,"12Ξ ($20,902)","Feb 15, 2021",12,20902,2021-02-15
4960,Sold,0x11c9a7,gaus,"3.40Ξ ($1,219)","Sep 28, 2020",3.4,1219,2020-09-28
4960,Sold,0x3ba9cd,0x11c9a7,"3.05Ξ ($1,078)","Sep 27, 2020",3.05,1078,2020-09-27
4960,Sold,0xe754d1,0x3ba9cd,2.10Ξ ($712),"Sep 23, 2020",2.1,712,2020-09-23
4960,Sold,OnlyToas…,0xe754d1,1.80Ξ ($686),"Sep 17, 2020",1.8,686,2020-09-17
4960,Sold,Carlini8,OnlyToas…,2.18Ξ ($815),"Sep 14, 2020",2.18,815,2020-09-14
4960,Sold,CPyrc,Carlini8,1.99Ξ ($748),"Sep 14, 2020",1.99,748,2020-09-14
4960,Sold,BitcoinG…,CPyrc,0.94Ξ ($371),"Aug 07, 2020",0.94,371,2020-08-07
4960,Sold,cloudwhi…,ManOverb…,1Ξ ($236),"Jun 13, 2020",1,236,2020-06-13
4960,Sold,0x70e194,cloudwhi…,1Ξ ($202),"May 22, 2020",1,202,2020-05-22
4960,Sold,0x00d7c9,0x70e194,0.10Ξ ($85),"Feb 23, 2018",0.1,85,2018-02-23
4961,Sold,Hemba,An111,0.10Ξ ($104),"Jan 19, 2018",0.1,104,2018-01-19
4962,Sold,Hemba,Catdog,0.60Ξ ($119),"May 14, 2020",0.6,119,2020-05-14
4963,Sold,0x3a4930,0x7e86d5,"34Ξ ($72,291)","Apr 11, 2021",34,72291,2021-04-11
4963,Sold,Hemba,0x3a4930,1Ξ ($387),"Aug 26, 2020",1,387,2020-08-26
4964,Sold,1700403,5949846,"23Ξ ($34,684)","Feb 25, 2021",23,34684,2021-02-25
4965,Sold,Loopify,0x0f4bc9,"20.50Ξ ($42,848)","Apr 10, 2021",20.5,42848,2021-04-10
4965,Sold,0x4ea36c,Loopify,"18.87Ξ ($40,260)","Apr 10, 2021",18.87,40260,2021-04-10
4965,Sold,0xc2b3cb,0x0872e7,"27.50Ξ ($50,824)","Mar 14, 2021",27.5,50824,2021-03-14
4965,Sold,0xa3cb30,0xc2b3cb,"26.50Ξ ($46,708)","Mar 12, 2021",26.5,46708,2021-03-12
4966,Sold,55241,14272451,0.25Ξ ($53),"Aug 12, 2019",0.25,53,2019-08-12
4968,Sold,0x1a1f01,0xead28e,"22.39Ξ ($40,317)","Mar 16, 2021",22.39,40317,2021-03-16
4968,Sold,0x7bd7b8,0x1a1f01,"21.12Ξ ($38,226)","Mar 11, 2021",21.12,38226,2021-03-11
4968,Sold,point-gr…,0x7bd7b8,"21.50Ξ ($40,314)","Feb 22, 2021",21.5,40314,2021-02-22
4968,Sold,0x553026,point-gr…,"20Ξ ($37,633)","Feb 22, 2021",20,37633,2021-02-22
4968,Sold,0x1a96af,0x553026,1.21Ξ ($241),"May 26, 2020",1.21,241,2020-05-26
4969,Sold,10734384,5786847,"26.50Ξ ($45,166)","Mar 23, 2021",26.5,45166,2021-03-23
4969,Sold,5331586,48543,0.12Ξ ($35),"Jun 29, 2017",0.12,35,2017-06-29
4970,Sold,55241,7435267,0.05Ξ ($26),"May 28, 2018",0.05,26,2018-05-28
4971,Sold,jmg,PB,0.49Ξ ($131),"May 26, 2019",0.49,131,2019-05-26
4971,Sold,0x5b098b,0x00bd3a,0.30Ξ ($86),"Jun 27, 2017",0.3,86,2017-06-27
4975,Sold,10074244,11644366,"7Ξ ($11,955)","Feb 08, 2021",7,11955,2021-02-08
4976,Sold,Carlini8,0xcd2c66,1Ξ ($232),"Jul 02, 2020",1,232,2020-07-02
4976,Sold,trislit,Carlini8,1.20Ξ ($241),"May 26, 2020",1.2,241,2020-05-26
4976,Sold,0xb0b0b5,trislit,0.31Ξ ($38),"Feb 16, 2019",0.31,38,2019-02-16
4977,Sold,Pixls,Kataster…,1Ξ ($161),"Jan 16, 2020",1,161,2020-01-16
4977,Sold,0x87e225,Pixls,0.48Ξ ($65),"Dec 30, 2019",0.48,65,2019-12-30
4977,Sold,0x00d7c9,0x87e225,0.30Ξ ($66),"Jul 31, 2019",0.3,66,2019-07-31
4978,Sold,Kataster…,0xc1d1d3,"18.25Ξ ($30,355)","Mar 23, 2021",18.25,30355,2021-03-23
4978,Sold,Pranksy,Kataster…,0.44Ξ ($66),"Dec 08, 2019",0.44,66,2019-12-08
4978,Sold,0x00d7c9,Pranksy,0.25Ξ ($45),"Sep 02, 2019",0.25,45,2019-09-02
4982,Sold,10734384,3478784,"19.99Ξ ($36,853)","Mar 30, 2021",19.99,36853,2021-03-30
4985,Sold,Pranksy,CryptoIn…,2.55Ξ ($535),"May 20, 2020",2.55,535,2020-05-20
4985,Sold,grake,Pranksy,1.75Ξ ($369),"May 19, 2020",1.75,369,2020-05-19
4985,Sold,0x22ff03,grake,1.30Ξ ($210),"Jan 25, 2020",1.3,210,2020-01-25
4986,Sold,3026470,9399070,"24Ξ ($46,391)","Feb 21, 2021",24,46391,2021-02-21
4986,Sold,11579573,3026470,0.29Ξ ($34),"Dec 20, 2018",0.29,34,2018-12-20
4988,Sold,Pranksy,stazie,0.50Ξ ($64),"Dec 20, 2019",0.5,64,2019-12-20
4988,Sold,0x00d7c9,Pranksy,0.25Ξ ($45),"Sep 02, 2019",0.25,45,2019-09-02
4989,Sold,0xf0f068…,0xca105c,2.55Ξ ($992),"Aug 26, 2020",2.55,992,2020-08-26
4989,Sold,Pranksy,0xf0f068…,0.48Ξ ($64),"Dec 22, 2019",0.48,64,2019-12-22
4989,Sold,ark1,Pranksy,0.30Ξ ($63),"Jul 28, 2019",0.3,63,2019-07-28
4989,Sold,0x00d7c9,ark1,0.35Ξ ($61),"Apr 20, 2019",0.35,61,2019-04-20
4990,Sold,0xd8e806,0x96b48f,0.21Ξ ($65),"Aug 12, 2017",0.21,65,2017-08-12
4990,Sold,Hemba,0xd8e806,0.42Ξ ($86),"Jul 13, 2017",0.42,86,2017-07-13
4991,Sold,0x8234be,Pixls,0.40Ξ ($56),"Mar 27, 2019",0.4,56,2019-03-27
4993,Sold,Hemba,0x5b098b,0.14Ξ ($15),"Dec 04, 2018",0.14,15,2018-12-04
